name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Zen Estilo 1.1 VXI BSIII,2008,1560,40000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1061 CC,64 bhp,5
Tata New Safari DICOR 2.2 EX 4x2,2008,3900,120000,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,7
Maruti 800 DX,1999,676,100000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4
Mahindra Scorpio 2.6 CRDe,2003,3900,98000,Diesel,Individual,Manual,First Owner,10.5 kmpl,2179 CC,120 bhp,8
Mahindra Bolero DI DX 7 Seater,2009,3510,150000,Diesel,Individual,Manual,Second Owner,13.6 kmpl,2523 CC,63 bhp,7
Chevrolet Sail LT ABS,2014,3380,38000,Diesel,Individual,Manual,First Owner,22.1 kmpl,1248 CC,74 bhp,5
Toyota Etios GD,2015,6175,120000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.05 bhp,5
Ford Figo Diesel Titanium,2011,3926,103000,Diesel,Individual,Manual,Third Owner,20.0 kmpl,1399 CC,68 bhp,5
Maruti 800 AC,1994,585,60000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4
Maruti Vitara Brezza VDi Option,2017,10075,80000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Ertiga VDI,2015,9100,50000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,7
Maruti Swift VDI BSIV,2014,6890,90000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5
Tata Nexon 1.5 Revotorq XZ Plus,2017,11309.987,70000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1497 CC,108.5 bhp,5
Hyundai Elantra CRDi,2006,2015,110000,Diesel,Individual,Manual,Fourth & Above Owner,14.9 kmpl,1991 CC,112.2 bhp,5
Tata Tiago 1.2 Revotron XZA,2019,7150,30000,Petrol,Individual,Automatic,First Owner,23.84 kmpl,1199 CC,83.83 bhp,5
Maruti Swift Dzire VDI,2016,7800,80000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,5
Maruti Swift Dzire VDi,2012,5590,110000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Tata Manza Aura (ABS) Quadrajet,2010,3198,120000,Diesel,Individual,Manual,First Owner,18.8 kmpl,1248 CC,90 bhp,5
Maruti Zen VXi - BS III,2003,1560,120000,Petrol,Individual,Manual,Third Owner,17.3 kmpl,993 CC,60 bhp,5
Hyundai i20 Asta 1.2,2014,7345,70000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Hyundai Elite i20 Asta Option Diesel,2018,11050,60000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.76 bhp,5
Maruti Alto LXi BSIII,2006,2080,90000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5
Fiat Linea Classic Plus 1.3 Multijet,2014,4225,142500,Diesel,Individual,Manual,First Owner,19.5 kmpl,1248 CC,75 bhp,5
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,5850,90000,Diesel,Individual,Manual,Third Owner,12.05 kmpl,2179 CC,120 bhp,8
Hyundai i10 Sportz 1.1L,2015,4030,50000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Honda Amaze S i-Dtech,2013,3250,90000,Diesel,Individual,Manual,Third Owner,25.8 kmpl,1498 CC,98.6 bhp,5
Maruti Swift Dzire LDI,2015,5460,115000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,5
Hyundai i20 Sportz AT 1.4,2013,4290,150000,Petrol,Individual,Automatic,Second Owner,15.0 kmpl,1396 CC,98.6 bhp,5
Maruti Swift VXI Optional,2015,5265,68000,Petrol,Individual,Manual,Second Owner,20.4 kmpl,1197 CC,81.80 bhp,5
Mahindra Bolero 2011-2019 ZLX,2013,5200,90000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,7
Honda City V AT,2010,5329.987,110000,Petrol,Individual,Automatic,Third Owner,15.6 kmpl,1497 CC,116.3 bhp,5
Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,6500,70000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,7
Mahindra XUV500 W8 4WD,2011,7670,80000,Diesel,Individual,Manual,Third Owner,15.1 kmpl,2179 CC,140 bhp,7
Hyundai Santro Xing XS eRLX Euro III,2006,1040,118000,Petrol,Individual,Manual,First Owner,,,,
Hyundai i10 Era,2007,1755,100000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Maruti Wagon R LXI,2004,910,70000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5
Maruti 800 Std BSII,2004,585,77000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,4
Maruti Swift Dzire VDI,2018,8450,35500,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5
Maruti Wagon R VXI Optional,2018,5200,17500,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5
Maruti Alto K10 VXI,2017,4550,27000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Hyundai Grand i10 1.2 CRDi Asta,2017,7150,60000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,5
Maruti Wagon R LXI Optional,2016,4550,25000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5
Maruti Swift Dzire LDI Optional,2015,5979.987,80000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5
Maruti Alto LXi,2012,2405,60000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5
Volkswagen Polo Diesel Highline 1.2L,2013,7150,38000,Diesel,Individual,Manual,First Owner,22.07 kmpl,1199 CC,73.9 bhp,5
Maruti Wagon R Duo Lxi,2012,3900,100000,LPG,Individual,Manual,Second Owner,26.2 km/kg,998 CC,58.2 bhp,5
Maruti Omni E 8 Str STD,2012,2275,60000,Petrol,Individual,Manual,Third Owner,,,,
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,11700,110000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,8
Honda BR-V i-DTEC S MT,2016,11700,92000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1498 CC,98.6 bhp,7
Mahindra Bolero 2011-2019 Plus AC,2012,7150,180000,Diesel,Individual,Manual,Third Owner,15.96 kmpl,2523 CC,62.1 bhp,9
Maruti Baleno Zeta 1.2,2018,8125,10000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Maruti Alto 800 VXI,2017,4030,35000,Petrol,Individual,Manual,Second Owner,24.7 kmpl,796 CC,47.3 bhp,5
Maruti Swift DDiS LDI,2017,6500,35000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74 bhp,5
Hyundai Grand i10 CRDi Sportz,2016,7930,23000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,5
Tata Indigo CS LX (TDI) BS III,2012,1950,150000,Diesel,Individual,Manual,Third Owner,19.09 kmpl,1396 CC,69 bhp,5
Hyundai Xcent 1.1 CRDi SX Option,2015,6240,70000,Diesel,Individual,Manual,First Owner,24.4 kmpl,1120 CC,71 bhp,5
Hyundai i20 1.2 Asta Option,2017,8450,40000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Hyundai i20 1.4 CRDi Magna,2012,3770,100000,Diesel,Individual,Manual,Second Owner,21.9 kmpl,1396 CC,90 bhp,5
Maruti Alto 800 LXI,2017,3900,50000,Petrol,Individual,Manual,Second Owner,24.7 kmpl,796 CC,47.3 bhp,5
Maruti Swift Dzire VDi,2010,3510,120000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Hyundai Xcent 1.1 CRDi S,2015,5200,60000,Diesel,Individual,Manual,Second Owner,24.4 kmpl,1120 CC,71 bhp,5
Maruti Alto 800 LX,2015,3640,28000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5
Maruti Swift Dzire VXi,2009,3250,60000,Petrol,Individual,Manual,Third Owner,17.5 kmpl,1298 CC,85.8 bhp,5
Maruti Swift Dzire VDi,2012,6435,80000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Ford Endeavour 3.2 Titanium AT 4X4,2018,42250,12000,Diesel,Individual,Automatic,First Owner,10.91 kmpl,3198 CC,197 bhp,7
Honda Amaze V Petrol BSIV,2019,9100,4500,Petrol,Individual,Manual,First Owner,19.5 kmpl,1199 CC,88.76 bhp,5
Tata Indigo eCS VX BSIV,2013,4030,70000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,5
Renault Duster 85PS Diesel RxE,2017,8450,120000,Diesel,Individual,Manual,First Owner,19.87 kmpl,1461 CC,83.8 bhp,5
Honda Jazz 1.2 V AT i VTEC,2015,7800,80000,Petrol,Individual,Automatic,First Owner,19.0 kmpl,1199 CC,88.7 bhp,5
Tata New Safari DICOR 2.2 EX 4x2,2009,1950,150000,Diesel,Individual,Manual,Fourth & Above Owner,11.57 kmpl,2179 CC,138.1 bhp,7
Mahindra Renault Logan 1.4 GLX Petrol,2009,1755,120000,Petrol,Individual,Manual,First Owner,15.7 kmpl,1390 CC,75 bhp,5
Maruti Swift Dzire VDI,2014,8450,50000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5
Honda City V MT,2012,7150,83000,Petrol,Individual,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,5
Maruti Swift Dzire VDI,2017,8450,20000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5
Toyota Fortuner 2.8 2WD AT BSIV,2018,37700,49000,Diesel,Individual,Automatic,First Owner,12.9 kmpl,2755 CC,174.5 bhp,7
Honda Brio 1.2 VX MT,2017,5850,6750,Petrol,Individual,Manual,First Owner,18.5 kmpl,1198 CC,86.8 bhp,5
Maruti Ciaz VXi Plus,2015,8450,26000,Petrol,Individual,Manual,First Owner,20.73 kmpl,1373 CC,91.1 bhp,5
Hyundai Grand i10 1.2 Kappa Era,2017,5590,52000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1197 CC,81.86 bhp,5
Hyundai Creta 1.6 CRDi AT S Plus,2017,14859,51000,Diesel,Individual,Automatic,First Owner,17.01 kmpl,1582 CC,126.2 bhp,5
Maruti Swift AMT ZXI Plus BSIV,2019,9100,20000,Petrol,Individual,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5
Maruti Ritz VXi,2011,2989.987,18500,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,5
Mahindra TUV 300 T4,2017,6629.987,142000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2016,8710,50478,Petrol,Individual,Manual,First Owner,15.85 kmpl,1499 CC,110.4 bhp,5
Tata Tiago 1.2 Revotron XZA,2019,6825,9200,Petrol,Individual,Automatic,First Owner,23.84 kmpl,1199 CC,83.83 bhp,5
Renault Duster 85PS Diesel RxE,2016,6695,40000,Diesel,Individual,Manual,First Owner,19.87 kmpl,1461 CC,83.8 bhp,5
Maruti Baleno Delta,2020,8190,5000,Petrol,Individual,Manual,First Owner,21.01 kmpl,1197 CC,81.80 bhp,5
Datsun RediGO A,2019,3510,2300,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,5
Maruti Alto 800 LXI,2016,3900,40000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5
Mahindra Xylo D2 BSIV,2012,3250,119000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2489 CC,95 bhp,8
Maruti Alto LX,2005,1170,100000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5
Maruti Ertiga SHVS ZDI Plus,2017,9750,100000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,7
Maruti Wagon R LXI Minor,2009,1755,50000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5
Maruti Eeco Smiles 5 Seater AC,2013,3575,80000,Petrol,Individual,Manual,Second Owner,15.1 kmpl,1196 CC,73 bhp,5
Tata Nexon 1.2 Revotron XM,2018,9620,15000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,5
Honda Amaze S i-VTEC,2019,8970,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,5
Audi Q5 35TDI Premium Plus,2018,51675,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,5
Lexus ES 300h,2019,66950,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,5
Jaguar XF 2.0 Diesel Portfolio,2017,41600,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5
Jeep Wrangler 2016-2019 3.6 4X4,2017,53300,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,5
Toyota Yaris V BSIV,2018,13000,4295,Petrol,Trustmark Dealer,Manual,First Owner,17.1 kmpl,1496 CC,105.5 bhp,5
Toyota Yaris V BSIV,2018,13000,5229,Petrol,Trustmark Dealer,Manual,First Owner,17.1 kmpl,1496 CC,105.5 bhp,5
Hyundai Grand i10 Nios Sportz,2019,7150,4701,Petrol,Trustmark Dealer,Manual,First Owner,20.7 kmpl,1197 CC,81.86 bhp,5
Maruti Baleno Alpha,2016,7800,6757,Petrol,Trustmark Dealer,Manual,First Owner,21.01 kmpl,1197 CC,81.80 bhp,5
Skoda Rapid 1.6 MPI AT Style Plus,2016,8775,28182,Petrol,Trustmark Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.52 bhp,5
Nissan Kicks XV BSIV,2019,12350,11533,Petrol,Trustmark Dealer,Manual,First Owner,14.23 kmpl,1498 CC,104.55 bhp,5
Honda City i VTEC V,2017,11050,11688,Petrol,Trustmark Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,5
Toyota Camry 2.5 Hybrid,2016,26000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5
Toyota Corolla Altis 1.8 VL AT,2012,7150,57728,Petrol,Trustmark Dealer,Automatic,First Owner,14.53 kmpl,1794 CC,138.1 bhp,5
Maruti Ciaz 1.3 Alpha,2018,12025,23712,Diesel,Trustmark Dealer,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5
Ford Ecosport 1.5 Ti VCT AT Titanium,2015,8125,70670,Petrol,Trustmark Dealer,Automatic,First Owner,16.5 kmpl,1499 CC,110 bhp,5
Maruti Alto 800 LXI,2014,2600,43381,Petrol,Dealer,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,5
Honda City i VTEC CVT VX,2014,8255,79011,Petrol,Trustmark Dealer,Automatic,First Owner,18.0 kmpl,1497 CC,117.3 bhp,5
Honda Jazz VX,2016,7150,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,5
Maruti SX4 VDI,2014,5525,50000,Diesel,Individual,Manual,Second Owner,21.79 kmpl,1248 CC,88.73 bhp,5
Maruti Wagon R VXI BS IV,2011,2860,40000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,5
Hyundai Grand i10 1.2 Kappa Asta,2018,7670,10000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5
Mahindra Thar CRDe,2017,10075,35000,Diesel,Individual,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,6
Maruti Ritz VXi,2015,4550,58500,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,5
Maruti Baleno Delta 1.2,2018,7475,20000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Nissan Micra XL,2011,2600,43500,Petrol,Individual,Manual,Second Owner,18.06 kmpl,1198 CC,75 bhp,5
Tata Hexa XT,2018,20475,30000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,7
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,7800,63000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5
Mahindra Bolero 2011-2019 ZLX BSIII,2016,9360,35000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7
Tata Indigo eCS LS TDI BSIII,2012,2054,110000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,5
Tata Hexa XT,2018,20475,25000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,7
Hyundai Xcent 1.2 VTVT S AT,2017,7540,30000,Petrol,Individual,Automatic,First Owner,17.36 kmpl,1197 CC,81.86 bhp,5
Mahindra Bolero 2011-2019 SLX,2012,5460,50000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7
Mahindra Marazzo M6 8Str,2018,15600,35000,Diesel,Individual,Manual,First Owner,17.3 kmpl,1497 CC,121 bhp,8
Renault KWID 1.0 RXT Optional,2018,4550,30000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5
Honda City i VTEC VX,2014,8450,56000,Petrol,Individual,Manual,First Owner,17.4 kmpl,1497 CC,117.3 bhp,5
Maruti Wagon R VXI BS IV,2017,5200,12700,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5
Tata Nexon 1.5 Revotorq XM,2018,9100,35000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1497 CC,108.5 bhp,5
Hyundai Xcent 1.2 Kappa SX,2017,6760,30000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,82 bhp,5
Mahindra Scorpio LX BSIV,2012,5850,120000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,9
Tata Safari Storme EX,2017,11050,100000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,7
Renault KWID RXT,2017,4550,34000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,5
Mahindra Xylo D2,2011,5850,56000,Diesel,Individual,Manual,First Owner,13.0 kmpl,2489 CC,95 bhp,8
Hyundai i10 Era,2008,2145,90000,Petrol,Individual,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Hyundai Santro Xing GLS,2010,2080,65000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,5
Tata New Safari DICOR 2.2 EX 4x4,2011,3900,80000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138 bhp,7
Mahindra Scorpio VLX 2WD BSIV,2012,7150,90000,Diesel,Individual,Manual,Third Owner,12.05 kmpl,2179 CC,120 bhp,8
Maruti Alto K10 VXI,2015,3705,40000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Hyundai Creta 1.6 CRDi SX,2016,11050,58000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5
Ford Freestyle Titanium Petrol BSIV,2018,9100,19100,Petrol,Individual,Manual,First Owner,19.0 kmpl,1194 CC,94.68 bhp,5
Maruti Ertiga ZXI Plus Petrol,2018,11700,25000,Petrol,Individual,Manual,First Owner,19.34 kmpl,1462 CC,103 bhp,7
Maruti Alto LXi BSIII,2005,2340,49455,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5
Hyundai EON D Lite Plus Option,2016,2860,100000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5
Tata Indica Vista Quadrajet LS,2013,1560,120000,Diesel,Individual,Manual,First Owner,22.3 kmpl,1248 CC,74 bhp,5
Hyundai i20 Asta Optional With Sunroof 1.2,2010,2860,90000,Petrol,Individual,Manual,Fourth & Above Owner,17.0 kmpl,1197 CC,80 bhp,5
Chevrolet Sail Hatchback LS ABS,2013,5460,46815,Diesel,Individual,Manual,Second Owner,22.1 kmpl,1248 CC,76.9 bhp,5
Tata Indica Vista TDI LS,2013,2080,110000,Diesel,Individual,Manual,First Owner,19.4 kmpl,1405 CC,70 bhp,5
Hyundai EON Era Plus,2015,3250,80000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5
Maruti Ertiga ZDI,2013,5005,100000,Diesel,Individual,Manual,Third Owner,20.77 kmpl,1248 CC,88.8 bhp,7
Maruti Wagon R VXI BS IV with ABS,2014,4134,80000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.06 bhp,5
Hyundai Xcent 1.2 VTVT S,2018,6240,40000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5
Maruti Celerio VXI,2015,4290,70000,Petrol,Individual,Manual,Third Owner,23.1 kmpl,998 CC,67.04 bhp,5
Tata Indica Vista Aqua 1.4 TDI,2011,1976,80000,Diesel,Individual,Manual,First Owner,17.0 kmpl,1405 CC,71 bhp,5
Maruti Alto 800 LXI,2014,3250,40000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5
Tata Indica Vista Aqua 1.4 TDI,2011,3224,80000,Diesel,Individual,Manual,First Owner,17.0 kmpl,1405 CC,71 bhp,5
Nissan Micra XV,2011,3900,60000,Petrol,Individual,Manual,Second Owner,18.06 kmpl,1198 CC,75 bhp,5
Hyundai i20 1.2 Spotz,2017,7150,50000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Hyundai i20 Sportz 1.4 CRDi,2016,8450,30000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5
Hyundai Grand i10 Magna,2017,5785,25000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,5
Toyota Innova 2.5 V Diesel 7-seater,2010,5850,334000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,7
Mahindra NuvoSport N8,2016,7800,100000,Diesel,Individual,Manual,First Owner,17.45 kmpl,1493 CC,100 bhp,7
Renault Duster Adventure Edition,2014,6435,175000,Diesel,Individual,Manual,First Owner,19.01 kmpl,1461 CC,108.45 bhp,5
Maruti SX4 ZXI AT,2011,2860,65000,Petrol,Individual,Automatic,Third Owner,12.6 kmpl,1586 CC,103.3 bhp,5
Maruti SX4 ZXI AT,2011,3380,65000,Petrol,Individual,Automatic,Third Owner,12.6 kmpl,1586 CC,103.3 bhp,5
Hyundai Santro Xing GLS,2009,1950,90000,Petrol,Individual,Manual,First Owner,17.92 kmpl,1086 CC,62.1 bhp,5
Ford Figo Diesel Titanium,2011,2600,80000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,5
Mahindra Scorpio S11 BSIV,2018,19045,110000,Diesel,Individual,Manual,First Owner,16.36 kmpl,2179 CC,140 bhp,7
Toyota Etios Liva GD,2012,3705,80000,Diesel,Individual,Manual,Second Owner,,,,
Honda Civic Hybrid,2008,3250,60000,Petrol,Individual,Automatic,Third Owner,20.0 kmpl,1339 CC,108.5 bhp,5
Mahindra Xylo D4,2014,4030,160000,Diesel,Individual,Manual,First Owner,14.95 kmpl,2489 CC,93.7 bhp,7
Mahindra Scorpio VLX 4WD AIRBAG AT BSIV,2010,7800,100875,Diesel,Individual,Automatic,First Owner,11.79 kmpl,2179 CC,120 bhp,8
Maruti Baleno Delta 1.2,2018,7280,20000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Maruti Swift Dzire VXI,2016,6500,30000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5
Hyundai Grand i10 CRDi Asta Option,2013,3510,118000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1120 CC,70 bhp,5
Hyundai Verna 1.6 SX,2013,5460,69000,Diesel,Individual,Manual,Third Owner,22.32 kmpl,1582 CC,126.32 bhp,5
Maruti Swift Dzire LXI,2015,5654.987,25000,Petrol,Individual,Manual,Second Owner,20.85 kmpl,1197 CC,83.14 bhp,5
Hyundai Xcent 1.2 Kappa AT S Option,2015,5200,100000,Petrol,Individual,Automatic,First Owner,16.9 kmpl,1197 CC,81.86 bhp,5
Maruti Swift Dzire VDI,2015,6110,110000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5
Nissan Terrano XL 85 PS,2015,6240,60000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,5
Hyundai Santro Xing GL,2008,1365,128000,Petrol,Individual,Manual,First Owner,0.0 kmpl,1086 CC,62 bhp,5
Tata Tiago 1.05 Revotorq XE,2017,4225,120000,Diesel,Individual,Manual,First Owner,27.28 kmpl,1047 CC,69 bhp,5
Toyota Etios Liva GD,2012,3640,80000,Diesel,Individual,Manual,Second Owner,,,,
Hyundai Grand i10 Nios AMT Sportz,2020,8775,5000,Petrol,Individual,Automatic,First Owner,20.7 kmpl,1197 CC,81.86 bhp,5
Hyundai i10 Sportz Option,2009,2210,90000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5
Hyundai Creta 1.6 CRDi SX Option,2017,16250,90000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5
Honda Accord 2.4 M/T,2012,7800,144030,Petrol,Individual,Manual,First Owner,12.8 kmpl,2354 CC,177.6 bhp,5
Honda City i DTEC VX,2014,10659.987,200000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5
Hyundai i20 2015-2017 Asta Option 1.2,2016,8450,29000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Maruti Wagon R LXI DUO BSIII,2007,1365,90000,LPG,Individual,Manual,Second Owner,17.3 km/kg,1061 CC,57.5 bhp,5
Mahindra Renault Logan 1.5 Diesel DLSX,2009,2600,176000,Diesel,Individual,Manual,Second Owner,17.0 kmpl,1461 CC,66 bhp,5
Tata Indigo CS LX (TDI) BS III,2013,2600,150000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1396 CC,69 bhp,5
Maruti Omni E MPI STD BS IV,2016,2860,90000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,8
Volkswagen Vento 1.6 Highline,2014,6500,70000,Petrol,Individual,Manual,Second Owner,15.04 kmpl,1598 CC,103.2 bhp,5
Mahindra Renault Logan 1.5 DLX Diesel,2007,2275,99000,Diesel,Individual,Manual,Second Owner,19.2 kmpl,1461 CC,65 bhp,5
Tata Tiago 1.2 Revotron XZ,2018,5850,5000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,5
Chevrolet Optra Magnum 2.0 LT,2008,2730,90000,Diesel,Individual,Manual,Fourth & Above Owner,16.52 kmpl,1991 CC,123.7 bhp,5
Maruti Ritz VDi,2011,3510,89000,Diesel,Individual,Manual,Second Owner,21.1 kmpl,1248 CC,73.9 bhp,5
